JAVA 资深/专家工程师,北京,java,本科,经验不限,"[""\u591a\u7ebf\u7a0b"", ""Spring"", ""Dubbo"", ""Redis"", ""NoSQL"", ""MySQL"", ""Linux""]","[30000, 60000]",15薪,"[""\u5e26\u85aa\u5e74\u5047"", ""\u4ea4\u901a\u8865\u52a9"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u514d\u8d39\u73ed\u8f66"", ""\u4e94\u9669\u4e00\u91d1"", ""\u8282\u65e5\u798f\u5229"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u5e74\u7ec8\u5956"", ""\u80a1\u7968\u671f\u6743"", ""\u96f6\u98df\u4e0b\u5348\u8336""]",阎先生高级研发工程师,高级研发工程师,0,滴滴出行,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190408/c23f08b24983fffa26a3a8ba19a463523cc05a6873981b80bf124ddd6c45f629_s.jpg?x-oss-process=image/resize,w_100,limit_0",D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/5a4d8f2f82dff18a1nN709m8EltW.html?lid=1e75yUBCqJO.search.11&securityId=VgNajmcdiHonT-y1Rh65wE9cEhKZAuqJ30dSDUUeyn7NAmUZLpxMKEX0cFfo1G5xMJsP7l3cBz1w6pnup1a6gB8oAd0ZdyCij-jYxLWF0EfwMQ~~&sessionId=,https://www.zhipin.com/gongsi/980f48937a13792b1nd63d0~.html,顺义区
java web 工程师,北京,java,本科,1-3年,"[""SpringBoot"", ""\u5168\u6808\u5f00\u53d1"", ""Angular"", ""Ionic"", ""\u524d\u540e\u7aef\u5206\u79bb"", """"]","[8000, 13000]",12薪,无,谷先生sales manager,sales manager,0,北京创芯互联科技,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",未融资,1000-9999人,https://www.zhipin.com/job_detail/46e8e8d6361e8c031nBy0t21EFJQ.html?lid=1e75yUBCqJO.search.12&securityId=HR0SzOHXPWIPF-a1jvdUFNO1jDASA4yDNtgJjnaNdghtZ6OEZKVdRkQzZk7v5z4b1EcGilFdxHVqPZzUU0SJXdRdH7XOO8kZ7Jji1_2Tw8j6cQobEw~~&sessionId=,https://www.zhipin.com/gongsi/bb98a7a2843d76fd0HZ72ty0FA~~.html,海淀区
JAVA 后端开发--主程,杭州,java,本科,3-5年,"[""\u5fae\u670d\u52a1\u67b6\u6784"", ""\u5bb9\u5668\u6280\u672f"", ""Spring"", ""SpringBoot"", ""Redis"", """", """"]","[13000, 20000]",12薪,无,严先生项目主管,项目主管,0,君南科技,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",未融资,20-99人,https://www.zhipin.com/job_detail/b1e1fd9a2bc1c7c61nZ_2N-9GFJQ.html?lid=1e75yUBCqJO.search.13&securityId=ntFnJB8p6c0Xm-f1RxGTA70p91m2ze_2_LhG7CM1-kAIi8MO_SPkRjOywBD_v8EQ_6_XTGcVqf7sVroYVEialmzBWLFonkVnSZyq5zE5Us1x6bUNwQ~~&sessionId=,https://www.zhipin.com/gongsi/7f461e0b7b7499d11nB829u1FQ~~.html,滨江区
java 开发工程师,西安,java,本科,1-3年,"[""\u540e\u7aef\u5de5\u7a0b\u5e08"", ""Java""]","[6000, 11000]",12薪,无,孙女士人事,人事,0,西安世健联健康科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",未融资,20-99人,https://www.zhipin.com/job_detail/ed4ef1eb33652f1f1XN_3Nu9GFpW.html?lid=1e75yUBCqJO.search.14&securityId=6ezUBSuFObiv0-q1aj99XlmxIZZu2wW5vEtObECuCUT8l9_pFNPFQL3euXXDQlRdfhxtEE6LjGL81IZV7gW9baLGiCDecip646NAmkyzHrue015eEc0O&sessionId=,https://www.zhipin.com/gongsi/ea3769f2221a69a31XJ72t20E1Q~.html,雁塔区
java 软件开发,昆明,java,本科,3-5年,"[""Java""]","[8000, 9000]",12薪,"[""\u4e94\u9669\u4e00\u91d1""]",陈女士人事行政主管,人事行政主管,0,天质弘耕,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200903/981d8b94320eaa07b70155aff47649a412dbd3430c6642220982dd7d1e583c1a_s.jpg?x-oss-process=image/resize,w_100,limit_0",天使轮,100-499人,https://www.zhipin.com/job_detail/e1e4fbbb099c09bf1nR92tS5EVVT.html?lid=1e75yUBCqJO.search.15&securityId=k3uIxJ2nqY-KD-a1KJKKB_j2EPCYhKCtz7BuAf-nC6fnexIf3qLzcf8xMqc4wgX5UHhOIIsNc9bhhH1T8X7n_zizQDSqZ6DcCZ8fQywInIkSrEX0NM8~&sessionId=,https://www.zhipin.com/gongsi/0743d20e9c76aa791nV829y1FFA~.html,
Java 开发工程师,威海,java,学历不限,经验不限,"[""Java"", ""\u4ed3\u5e93""]","[6000, 11000]",12薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u5168\u52e4\u5956"", ""\u5e74\u7ec8\u5956"", ""\u80a1\u7968\u671f\u6743"", ""\u901a\u8baf\u8865\u8d34"", ""\u9910\u8865"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u5e26\u85aa\u5e74\u5047""]",叶先生招聘专员,招聘专员,0,传世般若,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210428/bece087aa6872656de79e28426549a10890725fb7d472fc8d7d60852b237e0f3_s.jpg?x-oss-process=image/resize,w_100,limit_0",A轮,100-499人,https://www.zhipin.com/job_detail/5ca35186a4e58e331n17292-GFVQ.html?lid=1e75yUBCqJO.search.16&securityId=tGEFo8kujVvLs-M1lxu41kJw-5FRzPcFCPxxQjz7D8lFVsRKKXTvew5xmgNbsOMe7J3aUpDfjXbUeGyNC_KDxQa7eKYMFwOJW9b0Bh6oANpqjdjH&sessionId=,https://www.zhipin.com/gongsi/1ba8d24aed878ad11XNy0t2_.html,环翠区
Java 开发工程师,上海,java,本科,1-3年,"[""SQL"", ""\u5206\u5e03\u5f0f\u6280\u672f"", ""SpringBoot"", ""SSM"", ""SpringCloud"", """", """", """"]","[15000, 25000]",12薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u5e74\u7ec8\u5956"", ""\u5305\u5403"", ""\u5e26\u85aa\u5e74\u5047"", ""\u80a1\u7968\u671f\u6743"", ""\u5458\u5de5\u65c5\u6e38"", ""\u8282\u65e5\u798f\u5229"", ""\u96f6\u98df\u4e0b\u5348\u8336""]",李女士运营经理,运营经理,0,上海宝云网络,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200921/9534489bb98e2046c0f03254023a9b06ae7f1d952c9d3a9e8239a84ea9801a79_s.jpg?x-oss-process=image/resize,w_100,limit_0",B轮,20-99人,https://www.zhipin.com/job_detail/600d387928a7c4631n1y3du7GVRX.html?lid=1e75yUBCqJO.search.17&securityId=bQVsVBLP39gGi-F1up_jxPjBe2Y7ZILWRbJcyKR51aHTz1uxfu5ssq0T3auljblMBvB0zvdXCLAsQr0ZnNrxOeNgenkAjDiSIe5bAK8kCWbLTP2LXA~~&sessionId=,https://www.zhipin.com/gongsi/94df8cb15d7e72791nd43dS1.html,浦东新区
Java 开发工程师,东莞,java,大专,3-5年,"[""\u540e\u7aef\u5de5\u7a0b\u5e08"", ""Java"", ""Spring"", ""JavaScript""]","[8000, 13000]",12薪,无,李先生总经理,总经理,0,新八连,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",未融资,0-20人,https://www.zhipin.com/job_detail/09caadc5814da2f01XF639u4FFVQ.html?lid=1e75yUBCqJO.search.18&securityId=zBy7C2kZQwC9Y-d18FCoidmYXzRUV_M6ziOWka_o3zJ5yQ7cqGGlaG7qJ7lSBkgfHWphV5gxVEHJH329k6kSqkWGLRtDw4jOilTmW7N4z8jWOQTnxls~&sessionId=,https://www.zhipin.com/gongsi/271f0099210681e91XZ829-6F1s~.html,虎门镇
Java 开发工程师,孝感,java,本科,5-10年,"[""\u540e\u7aef\u5de5\u7a0b\u5e08"", ""\u5168\u6808\u5de5\u7a0b\u5e08"", ""\u7559\u5b66\u751f\u4f18\u5148"", ""Java"", ""MySQL"", """", """", """", """"]","[15000, 25000]",12薪,"[""\u4ea4\u901a\u8865\u52a9"", ""\u7ee9\u6548\u5956\u91d1"", ""\u901a\u8baf\u8865\u8d34"", ""\u56e2\u5efa\u805a\u9910"", ""\u5305\u5403"", ""\u5458\u5de5\u65c5\u6e38"", ""\u5e26\u85aa\u5e74\u5047"", ""\u4f4f\u623f\u8865\u8d34"", ""\u4f01\u4e1a\u5e74\u91d1"", ""\u5de5\u9f84\u5956"", ""\u80a1\u7968\u671f\u6743"", ""\u8282\u5047\u65e5\u52a0\u73ed\u8d39"", ""\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa"", ""\u5168\u52e4\u5956"", ""\u4fdd\u5e95\u5de5\u8d44""]",李先生人事经理,人事经理,0,琦迹网络,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230602/7bf6f160950405e94d145703822cdc5c1255ebe6be678f7d410ee05a425dca6a8966fa90c5285028.jpg?x-oss-process=image/resize,w_100,limit_0",不需要融资,20-99人,https://www.zhipin.com/job_detail/60df3085491ba3f61Xx92dy7GFRW.html?lid=1e75yUBCqJO.search.19&securityId=OsjrnShOWav6A-n18IIyPvoK7dNQDZMOPOwxY-xW6lP1dmUqO9LXjvymT6pTZas0SxqD4Q3VVloVwmv_95MOm4tPH9X_0eKmic7FSG40TUv0E_jCY26b&sessionId=,https://www.zhipin.com/gongsi/e07ecdcb6bf338821XN_09W-FVM~.html,孝南区
Java 开发工程师,昆明,java,本科,3-5年,"[""Java"", ""SQL"", ""Spring"", ""\u540e\u7aef\u5f00\u53d1"", ""\u5fae\u670d\u52a1\u67b6\u6784""]","[6000, 11000]",12薪,"[""\u5546\u4e1a\u4fdd\u9669"", ""\u5e26\u85aa\u5e74\u5047"", ""\u4ea4\u901a\u8865\u52a9"", ""\u4e94\u9669\u4e00\u91d1"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u8282\u65e5\u798f\u5229"", ""\u5305\u5403"", ""\u901a\u8baf\u8865\u8d34"", ""\u5458\u5de5\u65c5\u6e38"", ""\u52a0\u73ed\u8865\u52a9"", ""\u9910\u8865"", ""\u5e74\u7ec8\u5956"", ""\u5b9a\u671f\u4f53\u68c0""]",杨先生开发部主管,开发部主管,0,维者科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190312/905f12b9a886554c77dc10e881936965c041e1b594eec68387895de14dc19531.png?x-oss-process=image/resize,w_100,limit_0",未融资,20-99人,https://www.zhipin.com/job_detail/0a1c588b221c35d41nR72tq0FlZQ.html?lid=1e75yUBCqJO.search.20&securityId=NVCfjuOOWIiRa-C1pJa527QI6DXzaidbbXq3O1zld5G6StzPA-ZpJpb4XUUpB_OC8BuclX72S1e9xL_MWj1pEECGaSODNvbCVXRvrUNuu2To6jkI3Q~~&sessionId=,https://www.zhipin.com/gongsi/9638ae6faae555f61HN_2t-8FQ~~.html,西山区
